symbol,entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl_abs,r_multiple,model,entry_reasons,exit_reason,entry_hour
QQQ,2026-01-21 10:00:00-05:00,2026-01-21 10:45:00-05:00,long,612.6950073242188,616.0100544520787,611.3689884730748,616.0100544520787,3.315047127859998,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-21 10:45:00-05:00,2026-01-21 11:33:00-05:00,long,615.9600219726562,615.074830191476,615.074830191476,618.1730014256068,-0.8851917811801968,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-22 10:03:00-05:00,2026-01-22 10:36:00-05:00,long,618.25,619.6192866734095,617.7022853306362,619.6192866734095,1.3692866734095333,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-22 10:36:00-05:00,2026-01-23 10:24:00-05:00,long,619.8900146484375,623.2612037658693,618.5415390014648,623.2612037658693,3.3711891174317543,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-23 10:24:00-05:00,2026-01-26 12:06:00-05:00,long,623.0599975585938,627.461438860212,621.2994210379464,627.461438860212,4.401441301618206,2.4999999999999676,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-27 10:00:00-05:00,2026-01-27 10:06:00-05:00,long,630.4500122070312,630.1243482317243,630.1243482317243,631.2641721452986,-0.3256639753069521,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-27 10:09:00-05:00,2026-01-28 09:30:00-05:00,long,630.8900146484375,633.6292234148299,629.7943311418805,633.6292234148299,2.7392087663923803,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-28 10:03:00-05:00,2026-01-28 10:09:00-05:00,long,635.4550170898438,635.0317217145647,635.0317217145647,636.5132555280413,-0.4232953752790536,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-28 10:15:00-05:00,2026-01-28 10:36:00-05:00,long,635.0499877929688,634.3181461879185,634.3181461879185,636.8795918055944,-0.7318416050502492,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-28 10:36:00-05:00,2026-01-28 10:45:00-05:00,long,634.5700073242188,633.9160766601562,633.9160766601562,636.204833984375,-0.6539306640625,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-28 10:48:00-05:00,2026-01-28 10:57:00-05:00,long,633.739990234375,633.3328349522181,633.3328349522181,634.7578784397672,-0.40715528215685026,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-29 10:06:00-05:00,2026-01-29 10:15:00-05:00,short,624.6599731445312,622.9454176766533,625.3457953316824,622.9454176766533,1.7145554678779718,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-29 10:18:00-05:00,2026-01-29 10:21:00-05:00,short,623.8200073242188,624.6533769880023,624.6533769880023,621.73658316476,-0.8333696637835146,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-29 10:21:00-05:00,2026-01-29 10:27:00-05:00,short,624.6787109375,625.1433672223773,625.1433672223773,623.5170702253068,-0.4646562848772646,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-29 10:45:00-05:00,2026-01-29 10:54:00-05:00,short,620.5999755859375,618.5774345397948,621.4089920043946,618.5774345397948,2.022541046142692,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-29 10:57:00-05:00,2026-01-29 11:06:00-05:00,short,619.9299926757812,618.7349357604979,620.4080154418946,618.7349357604979,1.1950569152833168,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-01-30 10:03:00-05:00,2026-01-30 10:06:00-05:00,short,625.6300048828125,626.9054493495396,626.9054493495396,622.4413937159948,-1.2754444667270946,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-30 10:06:00-05:00,2026-01-30 10:09:00-05:00,short,627.2100219726562,627.2954639979771,627.2954639979771,626.9964169093541,-0.08544202532084455,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-01-30 10:09:00-05:00,2026-01-30 10:12:00-05:00,short,626.9500122070312,627.4854664393833,627.4854664393833,625.611376626151,-0.5354542323520946,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
