candidate_id,symbol,disp,rr,reclaim,trades,win_rate,expectancy,avg_r,rejections,exp_post_005,exp_post_010,positive_folds,mean_expectancy,min_expectancy,score
1,IWM,1.0,2.0,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
2,IWM,1.0,2.0,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
3,IWM,1.0,2.0,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
4,IWM,1.0,2.5,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
5,IWM,1.0,2.5,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
6,IWM,1.0,2.5,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
7,IWM,1.0,3.0,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
8,IWM,1.0,3.0,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
9,IWM,1.0,3.0,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
10,IWM,1.1,2.0,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
11,IWM,1.1,2.0,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
12,IWM,1.1,2.0,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
13,IWM,1.1,2.5,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
14,IWM,1.1,2.5,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
15,IWM,1.1,2.5,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
16,IWM,1.1,3.0,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
17,IWM,1.1,3.0,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
18,IWM,1.1,3.0,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
19,IWM,1.2,2.0,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
20,IWM,1.2,2.0,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
21,IWM,1.2,2.0,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
22,IWM,1.2,2.5,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
23,IWM,1.2,2.5,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
24,IWM,1.2,2.5,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
25,IWM,1.2,3.0,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
26,IWM,1.2,3.0,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
27,IWM,1.2,3.0,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
28,IWM,1.3,2.0,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
29,IWM,1.3,2.0,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
30,IWM,1.3,2.0,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
31,IWM,1.3,2.5,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
32,IWM,1.3,2.5,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
33,IWM,1.3,2.5,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
34,IWM,1.3,3.0,0.02,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
35,IWM,1.3,3.0,0.03,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
36,IWM,1.3,3.0,0.04,0,0.0,0.0,0.0,915,0.0,0.0,0,0.0,0.0,0.0
